Name,Tier,Class,Type,EXP Cost,Steam Cost,Aether Cost,Prerequisites,Multi Purchase,Description
Concealment,Apprentice,GUILE,Passives,6,,,Eagle Eye,,"You are now adept at concealing items on yourself. You can now wear/have a pouch that must be clearly labeled “Concealed.” Any items/cards in this pouch are undetectable through most normal means, including searching, pickpocket, Eagle Eye, and Spot a Mark. No item larger than a small weapon can fit into this pouch. Additionally, your Eagle Eye and Spot A Mark allow you to detect if a target has a concealment pouch."
Fancy Footwork,Apprentice,GUILE,Passives,8,,,Quick Reflexes,,The Soak granted by “Quick Reflexes” increases by 3. This skill will provide no benefit for a character already benefitting from the “Banditry” skill.
Favored Quarry,Apprentice,GUILE,Passives,5,,,,,"(Pre-req: Knowledge based on chosen target: Nature for Natural, Arcana for Aether Creatures, Theology for Unnatural, Mineralogy for Constructs, Medicine or Culture for Mortals) (Separate Purchase) Choose 1 Creature (Aberrations, Undead, Aether Creatures, Natural Creatures, and Constructs) or PC playable race type to be your favored quarry. Against your favored Quarry, you have a Steam efficiency and deal +1 physical numerical damage."
Mental Control,Apprentice,GUILE,Passives,4,,,Willpower,,It takes 15 seconds to use “Willpower” instead of 1 minute.
Paranoia,Apprentice,GUILE,Passives,5,,,Eagle Eye,,"Being more aware of how to size up potential targets grants unique insight in how to avoid being sized up. You are now immune to Eagle Eye and all associated skills. This skill does not work against “Spot a Mark” if you are incapacitated, in your death count, constricted, or paralyzed."
Poison Immunity,Apprentice,GUILE,Passives,5,,,Poison Resistance,,Choose 1 Poison. You are now permanently immune to that Poison. Note that this immunity does not extend to Greater versions of this Poison. Limit of 3 purchases.
Quick Search,Apprentice,GUILE,Passives,3,,,Eagle Eye,1,Reduces search time by 5 seconds per purchase. Can be purchased up to 3 times.
Shank,Apprentice,GUILE,Passives,5,,,"Kidney Shot, One handed Style",,"So long as the character is wielding a dagger or other similar small weapon, they may use the Kidney Shot feat from any angle."
Trap Expert,Apprentice,GUILE,Passives,4,,,Disarm Novice Trap or 1 trap talent,,The time that it takes for you to set or disarm a trap is reduced by half.
Whites of Their Eyes,Apprentice,GUILE,Passives,5,,,Sword and Pistol style or Dual Pistol style,,"When making Point Blank attacks, you can now use offensive feats with ranged weapons."
Dodge,Apprentice,GUILE,Feats,5,4,,Fancy Footwork or Banditry,,"This skill will negate any one melee, ranged (excluding bullets), dust, or spell attack from the front. Cannot be used while wearing plate armor."
Dirty Fighting,Apprentice,GUILE,Feats,4,3,,Shank,,Strike target. Target is hit with a standard “Blind” effect. Call “Dirty Fighting. Blind. 1 minute.”
Interrogate,Apprentice,GUILE,Feats,5,4,,Sense Motive,,"Once activated, you can use “Sense Motive” at no cost for the next 5 minutes on a single target. During this time, for +2 additional Steam per call, you may ask the target a question that they must answer truthfully and to the best of their ability (Mental Effect)."
Mask Culture,Apprentice,GUILE,Feats,5,3,,Lie,,You now detect as a member of any culture of your choosing against standard detect culture abilities. Duration: 1 minute.
Piercing Shot,Apprentice,GUILE,Feats,5,4,,at least 2 Ranged or Firearm Profs,,"Used with any ranged weapon, including guns. May be combined with any other ranged feat. If the ranged attack would be stopped by a weapon or shield, it will still count as having hit the target. Call “Piercing Shot” before the attack."
Poison Resistance,Apprentice,GUILE,Feats,4,3,,Rapid Metabolism,,"When affected by a Poison, you can activate this feat to delay the effect for 1 minute. Cannot be used on more than one Poison at a time."
Quick Shot,Apprentice,GUILE,Feats,4,3,,1 Firearm Prof,,You must have a pistol holstered with at least one bullet loaded. You can fire a shot without OOG without taking your pistol out of the holster. Call this feat and throw a spell packet for the normal damage of your gun. This counts as a shot fired from the appropriate gun. Bullets are still Expended this way. Cannot be used with other feats.
Silent Kill,Apprentice,GUILE,Feats,4,3,,Shank,,Allows the character to whisper their coup de gras count when used.
Suppress Baptism,Apprentice,GUILE,Feats,5,3,,Lie,,You may suppress your current baptism and instead detect as unbaptized. Duration: 1 minute.
Trick Shot,Apprentice,GUILE,Feats,5,3,,at least 1 Ranged or Firearm Prof,,"Delivered via any ranged attack, including guns. Target takes your weapon damage and a disarm effect in specified hand (your choice). Call “Trick shot. X damage. Disarm. X hand.”"
Burglar’s Insight,Apprentice,GUILE,Feats,4,,,Spot a Mark,,"After 1 minute looking around the inside/outside of a building, you become aware of all entry and exit points to a building, as well as any items of worth within the building itself. If used in conjunction with a Marshal, more information may be gleaned using this skill."
Disarm Apprentice Traps,Apprentice,GUILE,Feats,4,,,Disarm Simple Trap,,Spend 1 minute of RP disarming an Apprentice trap.
Fast Talk,Apprentice,GUILE,Feats,4,,,Lie,,"You must engage your intended target in conversation. After 30 seconds, target is “Stunned”, with the exception that they only speak to continue the conversation. This stun will last as long as the conversation is maintained. If anything would break the stun, the effect ends. Mental effect."
Identify Alchemy,Apprentice,GUILE,Feats,3,,,Detect Alchemy and Knowledge Alchemy 2,,"After alchemy is detected on an item, spend 30 seconds RP of further examination. You can identify alchemy in or on the item, and any augments on that alchemy. You may have to ask a marshal or read marshal notes."
Pick Apprentice Lock,Apprentice,GUILE,Feats,4,,,Pick Novice lock,,Spend 1 minute RP picking a lock. This allows you to pick any Apprentice lock.
Spot a Mark,Apprentice,GUILE,Feats,5,,,Eagle Eye,,"You are now adept at sizing up living beings for potential loot. After 30 seconds of observation, you may ask if the target has any items of value on their person as per Eagle Eye, regardless of what condition they are in."
Apprentice Traps,Apprentice,GUILE,Feats,,,,,,"noisemakers like bells. All trap physreps should be approved by a rules marshal before use. All traps must have area notes attached, and some general way of alerting the player they have triggered the trap.)"
Set Large Pitfall Trap,Apprentice,GUILE,Feats,4,,,Set Small Pitfall trap,,"Once set, trap is considered hidden and cannot be identified without the correct skill. When triggered, target falls into a hole about 6-8 feet deep, taking 5 damage from the fall. While in the pit, target cannot attack or be attacked in melee, but can still use and take effect from spells or ranged weaponry. Target can attempt to climb out of the pit, which takes 1 minute and requires Concentration. Anyone outside of the pit can assist, which will reduce the time to escape to 10 seconds."
Set Deadfall Trap,Apprentice,GUILE,Feats,4,,,Set Force trap,,"A heavy object is set to fall on whoever triggers the trap. Once set, trap is considered hidden and cannot be identified without the correct skill. Target is affected by “Incapacitate” for 5 mins. If target is wearing a helmet, they are instead affected by Physical Ineptitude for 1 min. Click For Table of Contents"
Set Poison Dart Trap,Apprentice,GUILE,Feats,4,,,1 Novice trap talent,,"A small dart can be prepared with all sorts of nasty concoctions. Once set, trap is considered hidden and cannot be identified without the correct skill. Upon setting this trap, you may choose to load it with an alchemical concoction of choice. Once trap is triggered, target takes 1 direct damage and suffers the effect of the alchemy that was loaded into it as if it was delivered as a viscid. In addition to a marshal note, you must leave the item tag for the concoction with the trap physrep. Any concoction that cannot be made as a viscid cannot be loaded into the trap."
Aether Well,Apprentice,ARCANE,Passives,5,,,,,"When Aether is transferred from or through you, the recipient receives 2 additional Aether."
Drain Magic,Apprentice,ARCANE,Passives,3,,,Energy Conductor,,"You can use “Energy Conductor” on an unwilling target that is helpless (incapacitated, constricted, paralyzed, etc.), in their death count, or dead. Can only be used once per target. If the target is an NPC with uses of spells instead of Aether, gain 1 Aether per use per spell the creature had left."
Extend Ritual,Apprentice,ARCANE,Passives,6,,,,,"When casting a ritual, you may choose to make the Aether cost Aggravated. If you do, the duration of the ritual increases to last until the end of the Event. You can only do this for rituals that already have durations or create items that have timed durations. Rituals that create items with charges are unaffected."
Improved Channeling,Apprentice,ARCANE,Passives,6,,,Channeling,,"You may now channel any spell through your weapon, not just numerically damaging spells."
Long-handed Runic Casting,Apprentice,ARCANE,Passives,4,,,,,"While casting runes, you may spend double the time and pay +2 Aether during creation to add +1 to any one numerical value. This can be used once per single rune."
Magical Executor,Apprentice,ARCANE,Passives,6,,,,,"Damaging single target numerical spells can be sustained to deal their damage per second, as long as line of sight is maintained, and you pay the spells Aether cost each second. Concentration Effect. Call “Magical Executor” before your spell’s name and then repeat the effect each second. For Example, “Ex Terra Vox Astrum, Magical Executor Magic Missile, 6 Magic, 6 Magic, 6 Magic…”"
